top_category,subcategory,sub_subcategory,url
PRINTABLES,,,https://123bots.com/gk-printables
PRINTABLES,coffee-mugs,,https://123bots.com/gk-printables/coffee-mugs
PRINTABLES,t-shirts,,https://123bots.com/gk-printables/t-shirts
PRINTABLES,on-canvas,,https://123bots.com/gk-printables/on-canvas
PRINTABLES,patches,,https://123bots.com/gk-printables/patches
PRINTABLES,stickers,,https://123bots.com/gk-printables/stickers
PRINTABLES,flags,,https://123bots.com/gk-printables/flags
PRINTABLES,postcards,,https://123bots.com/gk-printables/postcards
PRINTABLES,tumblers,,https://123bots.com/gk-printables/tumblers
SPECIAL,,,https://123bots.com/special-occasions
SPECIAL,birthday,,https://123bots.com/special-occasions/birthday
SPECIAL,friends,,https://123bots.com/special-occasions/friends
SPECIAL,love,,https://123bots.com/special-occasions/love
SPECIAL,moms,,https://123bots.com/special-occasions/moms
SPECIAL,thank-you,,https://123bots.com/special-occasions/thank-you
SPECIAL,ladies,,https://123bots.com/special-occasions/ladies
COLLECTIONS,,,https://123bots.com/specialty-collections
COLLECTIONS,cancer-support-group,,https://123bots.com/specialty-collections/cancer-support-group
COLLECTIONS,electronics,,https://123bots.com/specialty-collections/electronics
COLLECTIONS,hawaiian-prints,,https://123bots.com/specialty-collections/hawaiian-prints
COLLECTIONS,political,,https://123bots.com/specialty-collections/political
COLLECTIONS,sports,,https://123bots.com/specialty-collections/sports
COLLECTIONS,blankets,,https://123bots.com/specialty-collections/blankets
COLLECTIONS,cruise-ship-apparel,,https://123bots.com/specialty-collections/cruise-ship-apparel
COLLECTIONS,cruise-ship-apparel,royal-caribbean/vision-of-the-seas,https://123bots.com/specialty-collections/cruise-ship-apparel/royal-caribbean/vision-of-the-seas
HOLIDAYS,,,https://123bots.com/holidays
HOLIDAYS,christmas,,https://123bots.com/holidays/christmas
HOLIDAYS,halloween,,https://123bots.com/holidays/halloween
HOLIDAYS,easter,,https://123bots.com/holidays/easter
HOLIDAYS,valentines-day,,https://123bots.com/holidays/valentines-day
HOLIDAYS,st-patricks-day,,https://123bots.com/holidays/st-patricks-day
