product_name,url
"Short-Sleeve Unisex T-Shirt",https://123bots.com/gk-printables/product/short-sleeve-unisex-t-shirt
"Maryland Tee Shirt",https://123bots.com/gk-printables/product/maryland-tee-shirt
"F#CK CANCER",https://123bots.com/gk-printables/product/f-ck-cancer
"I had a friend once tee",https://123bots.com/gk-printables/product/i-had-a-friend-once-tee
"I'm crazy tee",https://123bots.com/gk-printables/product/i-m-crazy-tee
"STUPID AND CRAZY TEE SHIRT",https://123bots.com/gk-printables/product/stupid-and-crazy-tee-shirt
"Lincoln tee shirt",https://123bots.com/gk-printables/product/lincoln-tee-shirt
"I'M NOT CRAZY, JUST SPECIAL",https://123bots.com/gk-printables/product/i-m-not-crazy-just-special
"I TALK TO MYSELF TEE SHIRT",https://123bots.com/gk-printables/product/i-talk-to-myself-tee-shirt
"VISION OF THE SEA CARRIBEAN ISLANDS",https://123bots.com/gk-printables/product/vision-of-the-sea-carribean-islands
"Warning, Alien sprayed Earth",https://123bots.com/gk-printables/product/warning-alien-sprayed-earth
"Stairway To Heaven - Custom Tumbler",https://123bots.com/gk-printables/product/stairway-to-heaven-custom-tumbler
"CHRISTMAS TUMBLERS - 1 - 15",https://123bots.com/gk-printables/product/christmas-tumblers-1-15
"GRINCH TUMBLER",https://123bots.com/gk-printables/product/grinch-tumbler
"20oz Christmas Tumblers",https://123bots.com/gk-printables/tumblers/20oz-Christmas-Tumblers-p604505315
"Fight Cancer In All Colors",https://123bots.com/specialty-collections/cancer-support-group/FIGHT-CANCER-IN-ALL-COLORS-p551016655
"Ladies Hawaiian V Neck",https://123bots.com/specialty-collections/hawaiian-prints/Ladies-Hawaiian-V-Neck-p611729359
"Vision Of The Seas W Design On Front",https://123bots.com/specialty-collections/vision-of-the-seas/Vision-of-the-Seas-w-Design-on-Front-p597256505
"ballet-pump",https://123bots.com/specialty-collections/product/ballet-pump
"blue-sandals",https://123bots.com/specialty-collections/product/blue-sandals
"blue-sneakers",https://123bots.com/specialty-collections/product/blue-sneakers
"grey-stiletto",https://123bots.com/specialty-collections/product/grey-stiletto
"mac-mouse",https://123bots.com/specialty-collections/product/mac-mouse
"orange-sneakers",https://123bots.com/specialty-collections/product/orange-sneakers
"red-shoes",https://123bots.com/specialty-collections/product/red-shoes
"red-sneakers",https://123bots.com/specialty-collections/product/red-sneakers
"slippers",https://123bots.com/specialty-collections/product/slippers
"stilettos",https://123bots.com/specialty-collections/product/stilettos
"grinch-tumbler",https://123bots.com/specialty-collections/product/grinch-tumbler
