name,description,category,categories,price,sku,image,in_stock,quantity,is_visible,tags,source_url
Short-Sleeve Unisex T-Shirt,Imported from 123Bots catalog source URL: https://123bots.com/gk-printables/product/short-sleeve-unisex-t-shirt,PRINTABLES,PRINTABLES,0.00,GK-SHORT-SLEEVE-UNISEX-T-SHIRT-001,,true,1,true,123bots-import,https://123bots.com/gk-printables/product/short-sleeve-unisex-t-shirt
Maryland Tee Shirt,Imported from 123Bots catalog source URL: https://123bots.com/gk-printables/product/maryland-tee-shirt,PRINTABLES,PRINTABLES,0.00,GK-MARYLAND-TEE-SHIRT-002,,true,1,true,123bots-import,https://123bots.com/gk-printables/product/maryland-tee-shirt
F#CK CANCER,Imported from 123Bots catalog source URL: https://123bots.com/gk-printables/product/f-ck-cancer,PRINTABLES,PRINTABLES,0.00,GK-F-CK-CANCER-003,,true,1,true,123bots-import,https://123bots.com/gk-printables/product/f-ck-cancer
I had a friend once tee,Imported from 123Bots catalog source URL: https://123bots.com/gk-printables/product/i-had-a-friend-once-tee,PRINTABLES,PRINTABLES,0.00,GK-I-HAD-A-FRIEND-ONCE-TEE-004,,true,1,true,123bots-import,https://123bots.com/gk-printables/product/i-had-a-friend-once-tee
I'm crazy tee,Imported from 123Bots catalog source URL: https://123bots.com/gk-printables/product/i-m-crazy-tee,PRINTABLES,PRINTABLES,0.00,GK-I-M-CRAZY-TEE-005,,true,1,true,123bots-import,https://123bots.com/gk-printables/product/i-m-crazy-tee
STUPID AND CRAZY TEE SHIRT,Imported from 123Bots catalog source URL: https://123bots.com/gk-printables/product/stupid-and-crazy-tee-shirt,PRINTABLES,PRINTABLES,0.00,GK-STUPID-AND-CRAZY-TEE-SHIRT-006,,true,1,true,123bots-import,https://123bots.com/gk-printables/product/stupid-and-crazy-tee-shirt
Lincoln tee shirt,Imported from 123Bots catalog source URL: https://123bots.com/gk-printables/product/lincoln-tee-shirt,PRINTABLES,PRINTABLES,0.00,GK-LINCOLN-TEE-SHIRT-007,,true,1,true,123bots-import,https://123bots.com/gk-printables/product/lincoln-tee-shirt
"I'M NOT CRAZY, JUST SPECIAL",Imported from 123Bots catalog source URL: https://123bots.com/gk-printables/product/i-m-not-crazy-just-special,PRINTABLES,PRINTABLES,0.00,GK-I-M-NOT-CRAZY-JUST-SPECIAL-008,,true,1,true,123bots-import,https://123bots.com/gk-printables/product/i-m-not-crazy-just-special
I TALK TO MYSELF TEE SHIRT,Imported from 123Bots catalog source URL: https://123bots.com/gk-printables/product/i-talk-to-myself-tee-shirt,PRINTABLES,PRINTABLES,0.00,GK-I-TALK-TO-MYSELF-TEE-SHIRT-009,,true,1,true,123bots-import,https://123bots.com/gk-printables/product/i-talk-to-myself-tee-shirt
VISION OF THE SEA CARRIBEAN ISLANDS,Imported from 123Bots catalog source URL: https://123bots.com/gk-printables/product/vision-of-the-sea-carribean-islands,PRINTABLES,PRINTABLES,0.00,GK-VISION-OF-THE-SEA-CARRIBEAN--010,,true,1,true,123bots-import,https://123bots.com/gk-printables/product/vision-of-the-sea-carribean-islands
