top_category,subcategory,sub_subcategory,url
PRINTABLES,,,https://gingerkare.com/gk-printables
PRINTABLES,coffee-mugs,,https://gingerkare.com/gk-printables/coffee-mugs
PRINTABLES,t-shirts,,https://gingerkare.com/gk-printables/t-shirts
PRINTABLES,on-canvas,,https://gingerkare.com/gk-printables/on-canvas
PRINTABLES,patches,,https://gingerkare.com/gk-printables/patches
PRINTABLES,stickers,,https://gingerkare.com/gk-printables/stickers
PRINTABLES,flags,,https://gingerkare.com/gk-printables/flags
PRINTABLES,postcards,,https://gingerkare.com/gk-printables/postcards
PRINTABLES,tumblers,,https://gingerkare.com/gk-printables/tumblers
SPECIAL,,,https://gingerkare.com/special-occasions
SPECIAL,birthday,,https://gingerkare.com/special-occasions/birthday
SPECIAL,friends,,https://gingerkare.com/special-occasions/friends
SPECIAL,love,,https://gingerkare.com/special-occasions/love
SPECIAL,moms,,https://gingerkare.com/special-occasions/moms
SPECIAL,thank-you,,https://gingerkare.com/special-occasions/thank-you
SPECIAL,ladies,,https://gingerkare.com/special-occasions/ladies
COLLECTIONS,,,https://gingerkare.com/specialty-collections
COLLECTIONS,cancer-support-group,,https://gingerkare.com/specialty-collections/cancer-support-group
COLLECTIONS,electronics,,https://gingerkare.com/specialty-collections/electronics
COLLECTIONS,hawaiian-prints,,https://gingerkare.com/specialty-collections/hawaiian-prints
COLLECTIONS,political,,https://gingerkare.com/specialty-collections/political
COLLECTIONS,sports,,https://gingerkare.com/specialty-collections/sports
COLLECTIONS,blankets,,https://gingerkare.com/specialty-collections/blankets
COLLECTIONS,cruise-ship-apparel,,https://gingerkare.com/specialty-collections/cruise-ship-apparel
COLLECTIONS,cruise-ship-apparel,royal-caribbean/vision-of-the-seas,https://gingerkare.com/specialty-collections/cruise-ship-apparel/royal-caribbean/vision-of-the-seas
HOLIDAYS,,,https://gingerkare.com/holidays
HOLIDAYS,christmas,,https://gingerkare.com/holidays/christmas
HOLIDAYS,halloween,,https://gingerkare.com/holidays/halloween
HOLIDAYS,easter,,https://gingerkare.com/holidays/easter
HOLIDAYS,valentines-day,,https://gingerkare.com/holidays/valentines-day
HOLIDAYS,st-patricks-day,,https://gingerkare.com/holidays/st-patricks-day
